Colonial Hall, 1200 Main St.
Comenius Hall, 1215 Main St.
Monocacy Hall, 1230 Main St.
Memorial Hall, 130 West Locust St.
Zinzendorf Hall, 1232 Monocacy St.
Hamiliton Hall, 1240 Monocacy St.
Steel Field Equipment, 34 E. Elizabeth St.
Steel Field Stadium including dugouts, 34 E. Elizabeth St.
Steel Field Locker Bldg (Field Houses), 21 East Laurel St.
Johnston Hall, 220 West Locust St.
Rau Hassler Halls, 250-310 West Locust St. 
Bernhardt Wihelm Halls, 301-361 West Locust St.
Haupert Union Building (HUB), 1125 Monocacy St.
1206 Main St.,1206 Main St.
1305-07 Main St.,1305 Main St.
1423-25 Iron St.,1423 Iron St.
120 West Greenwich St.,120 West Greenwich St.
1202 Main St.,1202 Main St.
Reeves Library, 1231 Monocacy St.
1118 Main St.,1118 Main St.
Collier Hall of Science, 1121 Main St.
Jo Smith Hall, 240 West Laurel St.
Bahnson Center, 60 West Locust St.
Beck Hall, 295 West Laurel St
de Schweinitz House, 294 West Laurel St
1412 Cortland St.,1412 Cortland St.
248 West Greenwich St.,248 West Greenwich St.
1407-09 Iron St.,1407 Iron St.
Lenox House, 1224 Lenox Ave.
Alumni House, 1230 Lenox Ave.
Administrative Office ,1301 Main St.
Lenape House, 284 West Laurel St.
Burnside House, 290 West Laurel St.
Antes House, 292 West Laurel St.
Forks St.Garage,1313 Iron St
Garage (2 car),1423 Iron St. 
1409 Bushkill Dr. (Storage),1409 Bushkill Dr.
Anna Nitschmann House, 235 West Laurel St. 
August Spangenburg House, 245 West Laurel St
Breidegam Field House, 220 West Locust St.
Campus Safety,117 West Greenwich St. 
1309 Main St.,1309 Main St.
1319 Main St.,1319 Main St.
Hillside I, 271 West Laurel St
Hillside II, 253 West Laurel St.
Hillside III, 289 West Laurel St.
Hillside IV, 286 West Laurel St.
Hillside V (Health Center), 250 West Laurel St.
Hillside VI, 295 West Laurel St.
1434 Cortland St.,1434 Cortland St.
1433 Cortland St.,1433 Cortland St.
PP Hurd Academic Complex, 1130 Monocacy St.
FMP&C Office Building, 1415 Cortland St.
Main Hall, 85 West Church St.
West Hall, 91 West Church St.
1848 Chapel & 1867 Chapel, 93 West Church St.
South Hall, 95 West Church St.
Foy Concert Hall, 99 West Church St.
Clewell Hall, 39 West Church St.
Arts - Payne Gallery, 97 West Church St.
Single Brethrens' House, 89 West Church St.
Day House,372 Main St.
Frueauff House, 79 West Church St.
Widows House , 53 West Church St.
1418-28 Cortland St.,1418 Cortland St.
1028 Geissinger St. ,1028 Geissinger St. 
216 West Frankford St.,216 West Frankford St.
249 West Greenwich St.,249 West Greenwich St.
251 West Greenwich St.,251 West Greenwich St.
257 West Greenwich St.,257 West Greenwich St.
1313 Iron St.,1313 Iron St.
1425 Iron St. Garage (2 car),1425 Iron St.
1140 Main St.,1140 Main St.
1300 Main St.,1300 Main St.
1021 Monocacy St.,1021 Monocacy St.
1023 Monocacy St,1023 Monocacy St
1025 Monocacy St.,1025 Monocacy St.
1027 Monocacy St.,1027 Monocacy St.
214 West Frankford St.,214 West Frankford St.
263 West Greenwich St.,263 West Greenwich St.
141 West Laurel St.,141 West Laurel St.
255 West Greenwich St.,255 West Greenwich St.
130 West Greenwich St.,130 West Greenwich St.
227 West Greenwich St.,227 West Greenwich St.
1457 Iron St.,1457 Iron St.
1414 Cortland St.,1414 Cortland St.
225 West Greenwich St.,225 West Greenwich St.
1315 Iron St.,1315 Iron St.
1417 Iron St. - only garage,1417 Iron St.
1416-1418 Monocacy St.,1416-1418 Monocacy St.
128 West Greenwich St.,128 West Greenwich St.
223 West Greenwich St.,223 West Greenwich St.
127 West Laurel St.,127 West Laurel St.
230 West Elizabeth Ave,230 West Elizabeth Ave
131 West Laurel St.,131 West Laurel St.
135 West Laurel St.,135 West Laurel St.
137 West Laurel St.,137 West Laurel St.
1409 Monocacy St.,1409 Monocacy St.
253 West Greenwich St,253 West Greenwich St
228 West Elizabeth Ave.,228 West Elizabeth Ave.
259 West Greenwich St.,259 West Greenwich St.
118 West Greenwich St.,118 West Greenwich St.
139 West Laurel St. ,139 West Laurel St. 
HILL 370 Main St.  MCHI Owned by College,370 Main St.
Benigna Hall (Comeius Center),150 West Elizabeth Ave
Breidgam Field House Fitness Center,220 West Locust St
1136 Main St.,1136 Main St.
1138 Main St.,1138 Main St.
136 West Fairview St,136 West Fairview St
Sports Medicine, 1441 Schoenersville Rd
125 W. Laurel St. ,125 W. Laurel St. 
Science Center, 1107 Main Street
116 W. Greenwich St.,116 W. Greenwich St.
(423-425 Heckewelder Place), 428 Main St.
436 Main St.,436 Main St.
444 Main St.,444 Main St.
1019 Monocacy St.,1019 Monocacy St.
261 West Greenwich St ,261 West Greenwich St 
113-115 West Greenwich St.,113 West Greenwich St.
